0,Menteri Keuangan Sri Mulyani mengatakan koreksi tajam pada Indeks Harga Saham Gabungan IHSG hingga sekitar 4 persen dalam perdagangan Rabu 10/1 hanya efek sesaat dari faktor-faktor regional seperti penurunan harga komoditi perkebunan dan krisis finansial di Thailand.
0,"Dalam jumpa pers bersama Dirut Bursa Efek Jakarta BEJ, Erry Firmansyah di gedung Depkeu Jakarta, Rabu malam, Menkeu menjelaskan beberapa faktor ekonomi Indonesia justru membaik."
0,"Kita melihat faktor inflasi dari makanan akan segera hilang yang terkonfirmasi dari harga beras di semua propinsi, katanya."
0,Demikian pula dengan harga minyak.
0,"Kondisi APBN 2007 pada dua pekan awal, secara umum baik dan pemerintah akan terus menjalankan kebijakan yang sound tepat, red sehingga tercipta konsistensi kebijakan yang memberikan keyakinan kepada investor."
0,"Menurut data Depkeu, net buy obligasi negara atau SUN oleh investor asing non residence pada saat ini mencapai Rp20,3 triliun dari posisi awal 2006 Rp4,2 triliun."
0,"Sedangkan untuk net buy saham oleh investor asing non residence mencapai Rp17,3 triliun dari posisi awal tahun Rp2,1 triliun."
0,"Kalau ditanya ini baik atau tidak, saya katakan baik dan mereka investor asing, red tidak lari, kata Menkeu."
0,"Di sektor riil, pemerintah telah mengeluarkan PP No.1 tahun 2007 sebagai revisi PP 148 tentang pemberian fasilitas PPh Pajak Penghasilan untuk penanaman modal pada bidang tertentu dan atau di daerah terpencil."
0,"Pada hari ini, Presiden baru mengeluarkan Perpres tentang pembebasan PPN produk primer yang berlaku efektif Januari, ujarnya."
0,Pemerintah juga telah berkomitmen untuk meningkatkan produksi padi nasional melalui program-program khusus dan pendanaan sehingga harga beras dapat terkendali.
0,"Produksi Crude Palm Oil CPO PT Astra Agro Lestari AALI pada Oktober 2007 naik sebesar 11,6 persen menjadi 88.343 ton dibanding September yang hanya 79.161 ton."
0,"Direktur AALI Santoso, dalam laporannya ke bursa, Senin, mengatakan, peningkatan produksi ini lebih disebabkan oleh tercukupinya curah hujan di penghujung tahun ini."
0,"Namun, lanjut Santoso, produksi secara total Januari hingga Oktober 2007 yang mencapai 730.297 ton masih mengalami penurunan sebesar 5,9 persen dibanding periode sama 2006."
0,"Pada periode 10 bulan pertama, produksi super CPO AALI naik sebesar 4,6 persen dari 482.302 ton menjadi 504.469 ton."
0,Bank Indonesia memperkirakan pertumbuhan kredit perbankan pada 2008 akan lebih tinggi dibanding target perbankan pada tahun ini sebesar 22 persen.
